First Dataset	Second Dataset	pvalue	qvalue
Acetate	BT_0317	nan	0.07170565992020295
Acetate	BT_0370	nan	1.7438757496786022e-05
Acetate	BT_3702	nan	1.7438757496786022e-05
Acetate	BT_4246	nan	1.7438757496786022e-05
Acetate	BT_4247	nan	1.7438757496786022e-05
Propionate	BT_0370	nan	1.7438757496786022e-05
Propionate	BT_3702	nan	1.7438757496786022e-05
Propionate	BT_4246	nan	1.7438757496786022e-05
Propionate	BT_4247	nan	1.7438757496786022e-05
Succinate	BT_0370	nan	1.7438757496786022e-05
Succinate	BT_3702	nan	1.7438757496786022e-05
Succinate	BT_4246	nan	1.7438757496786022e-05
Succinate	BT_4247	nan	1.7438757496786022e-05
Galactonate	BT_0370	nan	1.7438757496786022e-05
Galactonate	BT_3702	nan	1.7438757496786022e-05
Galactonate	BT_4246	nan	1.7438757496786022e-05
Galactonate	BT_4247	nan	1.7438757496786022e-05
Phenylacetate	BT_0370	nan	1.7438757496786022e-05
Phenylacetate	BT_3702	nan	1.7438757496786022e-05
Phenylacetate	BT_4246	nan	1.7438757496786022e-05
Phenylacetate	BT_4247	nan	1.7438757496786022e-05
Isobutyrate	BT_0287	nan	0.0699814129986277
Isobutyrate	BT_3098	nan	0.06429379719958922
Aspartate	BT_0366	nan	0.07170565992020295
Glutamate	BT_0317	nan	0.00634881415048064
Glutamate	BT_0370	nan	1.7438757496786022e-05
Glutamate	BT_3045	nan	0.06429379719958922
Glutamate	BT_3702	nan	1.7438757496786022e-05
Glutamate	BT_4246	nan	1.7438757496786022e-05
Glutamate	BT_4247	nan	1.7438757496786022e-05
Glutamine	BT_0370	nan	1.7438757496786022e-05
Glutamine	BT_3702	nan	1.7438757496786022e-05
Glutamine	BT_4246	nan	1.7438757496786022e-05
Glutamine	BT_4247	nan	1.7438757496786022e-05
Glycine	BT_0370	nan	1.7438757496786022e-05
Glycine	BT_3099	nan	0.07092699783460168
Glycine	BT_3702	nan	1.7438757496786022e-05
Glycine	BT_4246	nan	1.7438757496786022e-05
Glycine	BT_4247	nan	1.7438757496786022e-05
Leucine	BT_4246	nan	0.07422665564113796
Methionine	BT_3045	nan	0.07170565992020295
Phenylalanine	BT_3045	nan	0.03950682515008724
Serine	BT_4113	nan	0.07170565992020295
Tyrosine	BT_3045	nan	0.03950682515008724
Arabinose	BT_0370	nan	1.7438757496786022e-05
Arabinose	BT_3045	nan	0.07170565992020295
Arabinose	BT_3702	nan	1.7438757496786022e-05
Arabinose	BT_4246	nan	1.7438757496786022e-05
Arabinose	BT_4247	nan	1.7438757496786022e-05
Galactose	BT_0367	nan	0.04896241216795145
Galactose	BT_0370	nan	1.7438757496786022e-05
Galactose	BT_3045	nan	0.07170565992020295
Galactose	BT_3702	nan	1.7438757496786022e-05
Galactose	BT_4246	nan	1.7438757496786022e-05
Galactose	BT_4247	nan	1.7438757496786022e-05
Xylose	BT_0370	nan	1.7438757496786022e-05
Xylose	BT_2689	nan	0.05101844716040615
Xylose	BT_3702	nan	1.7438757496786022e-05
Xylose	BT_4246	nan	1.7438757496786022e-05
Xylose	BT_4247	nan	1.7438757496786022e-05
Sucrose	BT_0370	nan	1.7438757496786022e-05
Sucrose	BT_3702	nan	1.7438757496786022e-05
Sucrose	BT_4246	nan	1.7438757496786022e-05
Sucrose	BT_4247	nan	1.7438757496786022e-05
Fructose	BT_0317	nan	0.07060103750803665
Fructose	BT_0367	nan	0.07060103750803665
Fructose	BT_0370	nan	1.7438757496786022e-05
Fructose	BT_3045	nan	0.07060103750803665
Fructose	BT_3702	nan	1.7438757496786022e-05
Fructose	BT_4246	nan	1.7438757496786022e-05
Fructose	BT_4247	nan	1.7438757496786022e-05
Choline	BT_3702	nan	0.07170565992020295
Creatine	BT_0172/BT_0173	nan	0.02403372140356852
Creatine	TDA1000_04395/BT_1869	nan	0.04992542405768288
Taurine	BT_0317	nan	0.07092699783460168
Taurine	BT_0367	nan	0.045027236178486786
Taurine	BT_1725/BT_1726	nan	0.0276445062651831
Trimethylamine	BT_3702	nan	0.03950682515008724
Trimethylamine	BT_4246	nan	0.03950682515008724
TrimethylamineNoxide	BT_4246	nan	0.04896241216795145
Uracil	TDA1000_04802	nan	0.04057139205165495
