SampleID	Diet	Time	Diet_Time	mouse	Time_numeric	run	run_date
D27_C1	WS	Day27	WS_Day27	C1	27	run2	Sept_18
D27_C10	WS	Day27	WS_Day27	C10	27	run2	Sept_18
D27_C11	WS	Day27	WS_Day27	C11	27	run2	Sept_18
D27_C12	WS	Day27	WS_Day27	C12	27	run2	Sept_18
D27_C13	WS	Day27	WS_Day27	C13	27	run2	Sept_18
D27_C14	WS	Day27	WS_Day27	C14	27	run2	Sept_18
D27_C2	WS	Day27	WS_Day27	C2	27	run2	Sept_18
D27_C4	WS	Day27	WS_Day27	C4	27	run2	Sept_18
D27_C5	WS	Day27	WS_Day27	C5	27	run2	Sept_18
D27_C6	WS	Day27	WS_Day27	C6	27	run2	Sept_18
D27_C7	WS	Day27	WS_Day27	C7	27	run2	Sept_18
D27_C8	WS	Day27	WS_Day27	C8	27	run2	Sept_18
D27_C9	WS	Day27	WS_Day27	C9	27	run2	Sept_18
D27_F10	Fluctuation	Day27	Fluctuation_Day27	F10	27	run2	Sept_18
D27_F11	Fluctuation	Day27	Fluctuation_Day27	F11	27	run2	Sept_18
D27_F12	Fluctuation	Day27	Fluctuation_Day27	F12	27	run2	Sept_18
D27_F13	Fluctuation	Day27	Fluctuation_Day27	F13	27	run2	Sept_18
D27_F14	Fluctuation	Day27	Fluctuation_Day27	F14	27	run2	Sept_18
D27_F15	Fluctuation	Day27	Fluctuation_Day27	F15	27	run2	Sept_18
D27_F2	Fluctuation	Day27	Fluctuation_Day27	F2	27	run2	Sept_18
D27_F3	Fluctuation	Day27	Fluctuation_Day27	F3	27	run2	Sept_18
D27_F4	Fluctuation	Day27	Fluctuation_Day27	F4	27	run2	Sept_18
D27_F5	Fluctuation	Day27	Fluctuation_Day27	F5	27	run2	Sept_18
D27_F6	Fluctuation	Day27	Fluctuation_Day27	F6	27	run2	Sept_18
D27_F7	Fluctuation	Day27	Fluctuation_Day27	F7	27	run2	Sept_18
D27_F8	Fluctuation	Day27	Fluctuation_Day27	F8	27	run2	Sept_18
D27_F9	Fluctuation	Day27	Fluctuation_Day27	F9	27	run2	Sept_18
D27_M1	LF_PP	Day27	LF_PP_Day27	M1	27	run2	Sept_18
D27_M10	LF_PP	Day27	LF_PP_Day27	M10	27	run2	Sept_18
D27_M11	LF_PP	Day27	LF_PP_Day27	M11	27	run2	Sept_18
D27_M12	LF_PP	Day27	LF_PP_Day27	M12	27	run2	Sept_18
D27_M13	LF_PP	Day27	LF_PP_Day27	M13	27	run2	Sept_18
D27_M14	LF_PP	Day27	LF_PP_Day27	M14	27	run2	Sept_18
D27_M15	LF_PP	Day27	LF_PP_Day27	M15	27	run2	Sept_18
D27_M16	LF_PP	Day27	LF_PP_Day27	M16	27	run2	Sept_18
D27_M3	LF_PP	Day27	LF_PP_Day27	M3	27	run2	Sept_18
